specObjID,z,ra,dec,type,dered_u,dered_g,dered_r,dered_i,dered_z
8727121618009348096,-0.0004287061,0.045666008000012,33.451501,6,19.81382,18.67632,18.32158,18.21461,18.14181
12699292922111350784,1.161447,0.0272059860000127,7.157843,6,22.04016,21.96663,21.50631,21.11016,21.46761
5106049634335479808,0.3532927,0.0293567539999913,7.2068225,3,22.67299,20.70761,18.98204,18.401,17.93364
8551281652323866624,0.4921949,0.0285451799999805,20.982378,3,23.46783,22.6512,21.64968,20.62371,19.80657
6879279322479482880,0.1471341,0.0331715969999777,20.890101,3,20.28513,18.15039,17.07718,16.60306,16.26978
6879279872235296768,0.2710147,0.0877130950000264,20.949333,3,21.47547,19.24277,17.76512,17.20311,16.88905
8724694171078907904,2.372892,0.00681879680001884,30.519356,6,22.42633,21.70399,21.655,21.60472,21.23911
7316146358196656128,2.373437,0.00682730699998046,30.519361,6,22.42633,21.70399,21.655,21.60472,21.23911
8032333872808351744,2.373812,0.00682731220001642,30.519361,6,22.42633,21.70399,21.655,21.60472,21.23911
8724693071567280128,2.033231,0.0375297670000236,30.405622,6,20.52649,20.33367,20.37829,20.26982,20.08531
9841501380178892800,2.287766,0.0149765049999928,3.9052548,6,21.66032,21.24918,21.1228,20.87646,20.55284
4815720284547209216,2.794425,0.0192200000000184,3.8562326,6,21.60826,21.19469,21.06469,21.12422,20.79567
9841499456033544192,2.797214,0.0192243829999938,3.8562326,6,21.60826,21.19469,21.06469,21.12422,20.79567
4815721109180930048,0.5301961,0.0398400000000265,3.8542938,3,22.07077,22.22121,20.36195,19.35568,18.72164
9841500005789358080,1.151436,0.068523325000001,3.8735314,null,null,null,null,null,null
7742969624921397248,0.5460951,0.0342270329999792,26.54098,3,25.64006,21.67261,20.0474,19.17728,18.52563
8663922781992540160,1.153987,0.0388097360000188,26.59337,6,20.52958,20.58274,20.36224,20.42796,20.18227
7742969899799304192,-0.0008050701,0.0539425069999879,26.595519,6,21.03242,19.77354,19.2409,19.09029,19.03288
8663922232236726272,9.394839E-05,0.0638756189999867,26.60561,6,24.46624,25.14845,23.8105,21.47606,18.86097
8631386303496476672,0.8948973,0.067885471000011,26.560396,6,21.09109,20.65159,20.62966,20.51409,20.223
4815712862843721728,0.7322258,0.00123000000002094,4.7958211,3,22.17093,21.9211,20.86613,19.89971,19.57269
4970969407696427008,0.6957697,0.00180851980002217,4.4573337,3,22.51621,23.25885,21.13766,19.82834,19.08003
4970975729888286720,1.617616,0.0040497586999777,4.8297822,6,20.30672,19.84625,19.56126,19.35159,19.24363
4815713962355349504,0.577309,0.00562000000002172,4.6915799,3,27.0605,22.25082,20.29401,19.23043,18.70601
9840458767891978240,1.801561,0.0132535559999951,5.1395523,6,22.74162,21.58814,21.4504,21.00526,20.89265
4970977379155728384,0.3578463,0.0138639209999951,5.0069644,3,22.51714,20.92014,19.256,18.55242,18.20844
4815712587965814784,0.530685,0.0143800000000169,5.037233,3,22.76299,22.12316,20.3779,19.51196,18.96107
9841758665899792384,2.73465,0.015233663999993,4.2489774,6,22.341,21.24906,20.70409,20.357,19.91375
9841755917120722944,-0.0002231045,0.0177520049999771,4.564439,6,25.95719,22.48167,21.32875,20.46277,19.96289
4970978478667356160,1.041508,0.0242747870000244,5.206847,null,null,null,null,null,null
9840457668380350464,0.1717215,0.0275508299999956,5.1206949,6,22.28767,21.09416,20.50117,20.23235,20.23444
9841755092487002112,0.7231332,0.0335565679999945,4.6907701,null,null,null,null,null,null
4970972981109217280,0.6285838,0.0358382719999781,4.4832664,null,null,null,null,null,null
9841757566388164608,1.606342,0.0358390040000245,4.4832663,null,null,null,null,null,null
4970975180132472832,1.046868,0.0360141429999885,4.9081958,null,null,null,null,null,null
9841753718097467392,0.8701824,0.036069628000007,4.8349781,3,23.77764,23.5942,22.16546,21.05299,19.75658
4970973530865031168,0.5039831,0.0363162869999769,4.625804,3,23.22133,21.94331,20.22488,19.4098,18.71916
9841759215655606272,0.6236972,0.0380979560000014,4.1329934,3,25.83149,23.29363,21.69186,20.61529,19.8504
9840458493014071296,-0.000141732,0.0382829440000023,5.1898991,3,22.78147,24.1345,22.43572,21.01852,19.76604
9841749869806770176,0.5054328,0.0397440230000257,5.0043163,3,24.25234,23.03783,21.32471,20.30331,19.60802
4970970232330147840,0.6929389,0.042570717999979,4.412903,null,null,null,null,null,null
4815717260890232832,0.6954009,0.0431800000000067,4.1771391,3,26.52952,23.9912,21.30556,19.9962,19.52892
4815711213576280064,0.5294948,0.0453899999999976,4.9129749,3,21.56403,21.73144,19.98046,18.96388,18.446
4815712038210000896,-0.000719795,0.0456899999999791,5.077979,6,21.13848,20.30145,20.17763,20.2187,20.0385
4970977104277821440,0.5691178,0.0476691360000245,5.0739949,3,23.95443,22.50283,20.74626,19.7226,19.53289
4970971881597589504,0.5256964,0.0480512720000092,4.4590893,3,25.24724,22.4922,20.94783,19.83127,19.46448
4815715061866977280,0.0001520112,0.0506500000000187,4.489173,3,22.40312,21.18368,20.12346,19.07069,18.59204
9841760040289327104,0.9239045,0.0507232649999878,4.0828366,6,19.83392,19.79807,19.71011,19.68983,19.61966
4815713687477442560,2.62591,0.0543099999999868,4.7343246,6,21.69281,21.02334,20.76794,20.92564,20.30332
9841753992975374336,2.624013,0.0543122469999844,4.7343246,6,21.69281,21.02334,20.76794,20.92564,20.30332
4815715336744884224,0.09431242,0.0573800000000233,4.4606024,3,18.94936,17.17093,16.30611,15.92793,15.62449
9841757291510257664,0,0.0578694260000248,4.7644736,6,21.75849,21.64674,21.46832,21.02957,21.52523
4970976279644100608,2.642794,0.0689294190000282,5.1845155,6,21.93632,20.88169,20.85348,20.84009,21.01295
4815710663820466176,0.504328,0.0696500000000242,5.0104138,3,22.74026,21.51749,20.16906,19.43376,19.09886
4815718360401860608,0.6050605,0.0727999999999724,4.0991616,3,23.20349,22.16496,20.28031,19.13241,18.69279
