specObjID,z,class,subClass,type,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
299493250387961856,0.0006608188,STAR,A0,6,146.91375,-0.64448137,19.06117,17.78424,17.88674,17.99026,18.10927
299493525735630848,0.0006005246,STAR,A0,6,146.91375,-0.64448137,19.06117,17.78424,17.88674,17.99026,18.10927
299498198190286848,0.0002182354,STAR,G2,6,146.94386,0.039168534,17.79611,16.61002,16.17973,16.00655,15.95311
299499847927490560,0.0001605878,STAR,G2,6,146.94386,0.039168534,17.79611,16.61002,16.17973,16.00655,15.95311
299500672091449344,9.151693E-05,STAR,F5,6,146.35184,-1.085806,24.41221,19.21817,24.68211,14.79473,22.76052
299501771603077120,0.0009942802,STAR,F5,6,146.43394,-0.727459,16.70531,15.76628,15.49038,15.38818,15.38707
299502871584466944,4.092516E-05,STAR,F5,6,146.35184,-1.085806,24.41221,19.21817,24.68211,14.79473,22.76052
299503420870518784,0.0004420534,STAR,CV,6,146.47335,-0.58450953,20.53206,24.69545,24.7165,24.89551,23.12242
299504795729815552,0.0009491375,STAR,F5,6,146.43394,-0.727459,16.70531,15.76628,15.49038,15.38818,15.38707
299505070607722496,0.000151985,STAR,CV,6,146.47335,-0.58450953,20.53206,24.69545,24.7165,24.89551,23.12242
299506994753071104,-6.372974E-05,STAR,M6,6,146.83368,-0.3359704,21.65067,18.72112,17.19412,15.00239,13.86722
299507269161216000,-5.246372E-05,STAR,M6,6,146.83368,-0.3359704,21.65067,18.72112,17.19412,15.00239,13.86722
299511942555396096,0.0002256552,STAR,A0,6,146.17616,-0.98244054,18.62853,17.539,17.43759,17.45741,17.49052
299512491841447936,0.0002526391,STAR,A0,6,146.17616,-0.98244054,18.62853,17.539,17.43759,17.45741,17.49052
299513316475168768,8.191811E-05,STAR,OB,6,146.13033,-0.65936219,17.46212,17.53857,17.83685,18.07969,18.3468
299516340601907200,7.269945E-05,STAR,OB,6,146.13033,-0.65936219,17.46212,17.53857,17.83685,18.07969,18.3468
299523761835632640,0.0005309209,STAR,A0,6,145.8232,-1.1725503,17.70208,16.50087,16.70098,16.85449,16.94602
299525136694929408,1.640591E-05,STAR,F5,6,145.83254,-1.0027092,17.49869,16.43478,16.11839,16.0026,15.9809
299527610126329856,3.132487E-05,STAR,F5,6,145.83254,-1.0027092,17.49869,16.43478,16.11839,16.0026,15.9809
299527885473998848,0.0004925642,STAR,A0,6,145.8232,-1.1725503,17.70208,16.50087,16.70098,16.85449,16.94602
299529534271678464,-0.000144067,STAR,M7,6,146.40564,-0.50711993,25.36014,25.31771,23.5559,20.31243,18.74371
299530359375161344,2.843799E-05,STAR,M8,6,146.40564,-0.50711993,25.36014,25.31771,23.5559,20.31243,18.74371
299536956444928000,0.000385456,STAR,K5,6,145.97827,-0.030849846,22.95507,20.72849,19.84207,19.5198,18.86885
299538330364700672,0.0004086459,STAR,K3,6,145.97827,-0.030849846,22.95507,20.72849,19.84207,19.5198,18.86885
299539154998421504,0.0003640049,STAR,F9,6,145.87459,-0.33551457,18.83883,17.62781,17.13795,16.98486,16.90222
299539429876328448,0.0006772617,STAR,A0,6,145.84176,-0.27778925,18.12452,16.94275,16.80546,16.76333,16.79567
299540804735625216,0.0003758192,STAR,F9,6,145.87459,-0.33551457,18.83883,17.62781,17.13795,16.98486,16.90222
299543553514694656,0.0006633649,STAR,A0,6,145.84176,-0.27778925,18.12452,16.94275,16.80546,16.76333,16.79567
299551249626327040,-0.0003892049,STAR,A0,6,145.57595,-0.42212484,16.70642,15.50157,15.55804,15.63577,15.73602
299552349137954816,-8.932855E-05,STAR,G0,6,145.67423,-0.38081052,17.41586,16.33896,16.01461,15.90274,15.88405
299553449119344640,-0.0003828644,STAR,A0,6,145.57595,-0.42212484,16.70642,15.50157,15.55804,15.63577,15.73602
299553723997251584,-0.0001019948,STAR,G0,6,145.67423,-0.38081052,17.41586,16.33896,16.01461,15.90274,15.88405
299557296940279808,-1.004321E-05,STAR,F2,6,145.44053,-0.72903632,18.33617,17.20437,16.87578,16.78169,16.75892
299560595944925184,-1.068308E-05,STAR,F2,6,145.44053,-0.72903632,18.33617,17.20437,16.87578,16.78169,16.75892
299563619132139520,-0.004021181,STAR,L4,6,145.39771,-0.15474118,18.6721,19.10926,19.65656,20.04026,20.1977
299569666446092288,-9.572874E-05,STAR,M8,6,145.29542,-0.74985409,23.75512,22.92391,22.20392,20.35155,18.75396
299571316183296000,0.0001377936,STAR,M8,6,145.29542,-0.74985409,23.75512,22.92391,22.20392,20.35155,18.75396
299572140817016832,-6.119941E-05,STAR,M2,6,145.24573,0.044365969,21.05561,20.79386,20.49818,19.93335,19.39113
299575988637952000,8.915415E-05,STAR,M3,6,145.24573,0.044365969,21.05561,20.79386,20.49818,19.93335,19.39113
299581761073997824,0.001127514,STAR,B9,6,145.18365,0.79991331,18.3798,18.64694,18.94859,19.14027,19.19973
299581761543759872,0.001080314,STAR,B9,6,145.18365,0.79991331,18.3798,18.64694,18.94859,19.14027,19.19973
299583685219346432,0.0001811221,STAR,K1,6,145.28412,0.706299,19.90434,17.85505,17.14081,16.93133,17.18292
299583960567015424,0.0001784339,STAR,K1,6,145.28412,0.706299,19.90434,17.85505,17.14081,16.93133,17.18292
299584510322829312,0.0002133724,STAR,F2,6,145.2928,0.37633508,18.96824,17.86662,17.48703,17.36185,17.33914
299584784730974208,0.000207432,STAR,F2,6,145.2928,0.37633508,18.96824,17.86662,17.48703,17.36185,17.33914
299584785200736256,6.569824E-05,STAR,M3,6,145.26257,0.31093104,24.52516,20.50313,19.00319,17.80077,17.18312
299588083265857536,8.65613E-05,STAR,M3,6,145.26257,0.31093104,24.52516,20.50313,19.00319,17.80077,17.18312
299588907899578368,7.804727E-05,STAR,F5,6,145.56677,0.99523194,18.3604,17.35718,17.02309,16.89465,16.88859
299589458125154304,0.0002861073,STAR,G2,6,145.7304,1.1649383,17.7306,16.55991,16.15574,16.03033,15.97339
299589732533299200,0.000281608,STAR,G2,6,145.7304,1.1649383,17.7306,16.55991,16.15574,16.03033,15.97339
299593306415851520,0.0001012022,STAR,F5,6,145.56677,0.99523194,18.3604,17.35718,17.02309,16.89465,16.88859
299596604950734848,-3.48146E-05,STAR,F9,6,145.63729,0.37329958,18.68429,17.46966,17.02378,16.87663,16.80542
299598253748414464,-2.074868E-05,STAR,F9,6,145.63729,0.37329958,18.68429,17.46966,17.02378,16.87663,16.80542
299601277405390848,8.87983E-05,STAR,M4,6,145.87385,0.94870332,24.05179,20.63965,19.33929,17.96628,17.34612
299601827630966784,9.570571E-05,STAR,M4,6,145.87385,0.94870332,24.05179,20.63965,19.33929,17.96628,17.34612
299607874475157504,0.0001236568,STAR,F9,6,145.76527,0.30018593,17.45902,16.16772,15.72755,15.57957,15.51447
299607874944919552,0.0001260678,STAR,F9,6,145.76527,0.30018593,17.45902,16.16772,15.72755,15.57957,15.51447
299611723235616768,-3.042288E-05,STAR,M0,6,146.33534,1.2198521,21.49617,20.15039,18.6845,17.98052,17.56909
299613097155389440,-2.366236E-06,STAR,M0,6,146.33534,1.2198521,21.49617,20.15039,18.6845,17.98052,17.56909
299617495201900544,0.0001695629,STAR,K5,6,146.02863,0.55695456,21.40399,18.93146,17.98131,17.58865,17.44022
299618870061197312,0.000189626,STAR,K5,6,146.02863,0.55695456,21.40399,18.93146,17.98131,17.58865,17.44022
299622168596080640,0.0002701807,STAR,A0,6,146.0623,0.50312476,19.28582,18.03607,17.9634,17.96089,17.98022
299623268107708416,-5.65732E-06,STAR,A0,6,146.18598,0.27795367,20.29796,18.99088,18.96499,19.06311,19.06161
299625191783294976,0.0003498576,STAR,F9,6,146.08468,0.25722726,18.55536,17.28292,16.82366,16.66335,16.60994
299626016886777856,0.0003433451,STAR,F9,6,146.08468,0.25722726,18.55536,17.28292,16.82366,16.66335,16.60994
299626291294922752,0.0002889741,STAR,A0,6,146.0623,0.50312476,19.28582,18.03607,17.9634,17.96089,17.98022
299626841050736640,-6.462297E-05,STAR,A0,6,146.18598,0.27795367,20.29796,18.99088,18.96499,19.06311,19.06161
299659551521662976,-0.0002183746,STAR,F2,6,146.98697,0.90994195,18.29787,17.16595,16.72356,16.56242,16.45597
299659826869331968,-0.0001887061,STAR,G2,6,146.98697,0.90994195,18.29787,17.16595,16.72356,16.56242,16.45597
299661751014680576,1.36942E-05,STAR,A0,6,147.16763,0.47167291,19.10346,18.04541,18.08642,18.16432,18.27734
299663674690267136,-1.7805E-05,STAR,A0,6,147.16763,0.47167291,19.10346,18.04541,18.08642,18.16432,18.27734
300618050883840000,0.0001006776,STAR,K7,6,148.96675,-0.77607839,21.34169,19.02872,17.6483,17.02935,16.69153
300628771122210816,0.0004589118,STAR,G0,6,148.5264,-0.97168901,18.33641,17.24536,16.89229,16.78181,16.75326
300635917947791360,3.180645E-05,STAR,G2,6,148.98573,0.005366197,18.60296,17.50785,17.15172,17.01338,17.02187
300643064773371904,-1.568407E-05,STAR,F9,6,148.76817,-0.22083189,16.63297,15.22174,14.75618,14.63135,14.60819
300650486476859392,0.0002441445,STAR,G2,6,148.1694,-1.1243151,19.437,18.30754,17.85673,17.84765,17.69389
300656533790812160,0.0003602553,STAR,G2,6,148.53234,-0.38237117,17.56637,16.44446,16.07521,15.93691,15.90968
300671926953601024,6.838652E-05,STAR,K7,6,147.85068,-1.0771943,22.33114,19.99932,18.65625,18.09291,17.74086
300674950610577408,0.0003561869,STAR,F5,6,147.86705,-0.71049327,18.79244,17.50992,17.12935,16.98017,16.91356
300676050122205184,0.0002325052,STAR,A0,6,147.76419,-0.58103041,19.89703,18.8351,18.77771,18.84573,18.88325
300682097436157952,0.0001258202,STAR,M1,6,147.47546,-1.1815886,21.80142,19.05118,17.69967,16.87219,16.42006
300684296459413504,-0.000107002,STAR,F9,6,147.28951,-0.79756098,19.61517,18.39209,17.83086,17.70571,17.58642
300685121093134336,0.0004456736,STAR,F5,6,147.4488,-0.96330768,17.86723,16.80878,16.47931,16.39455,16.34728
300689794017552384,-0.0001549117,STAR,OB,6,147.61614,0.093248577,18.17197,18.29056,18.7047,19.01184,19.2795
300695016697784320,0.0001186718,STAR,M0,6,147.08272,-1.2156437,22.65005,19.65083,18.22054,17.62854,17.30609
300695841331505152,9.934753E-05,STAR,G2,6,147.21337,-0.8131697,19.0096,17.85611,17.45408,17.34505,17.32832
300699964500109312,-9.755677E-05,STAR,G0,6,147.10709,-0.34790731,16.86321,15.66486,15.24889,15.1103,15.06481
300700789133830144,-0.0002213699,STAR,F5,6,147.29564,-0.4996407,18.28667,17.40692,17.11741,17.01029,16.97011
300703812790806528,-3.738093E-05,STAR,F9,6,146.52448,0.83016299,17.76816,16.54437,16.12884,15.99779,15.93835
300704637424527360,0.0001322047,STAR,F9,6,147.18509,1.0136953,18.08492,16.92271,16.52021,16.40205,16.38347
300704912302434304,0.0001075041,STAR,T2,6,147.28877,1.0971531,23.64533,20.78926,19.59612,19.14239,18.81429
300709585226852352,-5.466048E-05,STAR,F9,6,146.50391,0.41384664,18.51048,17.23466,16.78502,16.65058,16.60422
300711784250107904,-0.0001056808,STAR,F9,6,147.09942,0.47544679,19.1677,17.93151,17.45203,17.26431,17.18484
300713983273363456,0.0009098107,STAR,F5,6,147.39408,0.28653246,17.83167,16.84356,16.5504,16.43886,16.38728
300718381319874560,0.0001808972,STAR,K7,6,147.50014,1.0065357,22.8563,19.92694,18.66128,18.04446,17.80539
300730475947780096,2.953473E-05,STAR,OB,6,147.75931,1.0757091,15.2212,15.37955,15.76869,16.06427,16.34359
300731300581500928,0.001209172,STAR,A0,6,147.73122,0.54832364,18.56532,17.52137,17.46343,17.49941,17.58477
300732674971035648,-1.182113E-05,STAR,F9,6,147.65394,0.52316504,18.00047,16.52202,15.96489,15.76555,15.69343
300738997162895360,3.749333E-05,STAR,M4,6,147.97413,0.86804335,22.40543,20.67062,19.26126,17.95931,17.2278
300746968622196736,1.521532E-05,STAR,A0,6,148.10993,0.37240762,19.65356,18.54342,18.49893,18.53573,18.55306
300749167645452288,7.043976E-05,STAR,K7,6,148.16678,0.72642294,21.70447,19.07792,17.85757,17.36921,17.18586
300753015936149504,-4.179206E-05,STAR,M1,6,148.36464,0.62225381,21.97548,19.36653,17.90128,17.10814,16.65577
300754390325684224,0.0006163775,STAR,F5,6,148.32412,0.41432082,18.38676,17.44559,17.23965,17.22787,17.19587
300768409098938368,-0.0001195583,STAR,G0,6,148.54058,0.25761725,18.02163,16.88836,16.49742,16.31778,16.2482
300780778604750848,8.181729E-05,STAR,F5,6,148.76657,0.92770885,18.61461,17.67668,17.36002,17.23807,17.24203
300781603238471680,0.0004529761,STAR,A0,6,148.49046,1.088089,18.69353,17.8521,17.64399,17.55275,17.54766
301743401454299136,0.000315787,STAR,O,6,150.08328,-0.57037215,16.87656,17.34235,17.92385,18.30484,18.70939
301745875355461632,0.0003859657,STAR,F5,6,150.24775,-0.70635261,17.84479,16.81373,16.61037,16.5566,16.58981
301746150233368576,-6.401377E-05,STAR,G2,6,150.21882,-0.5674201,18.01716,16.88066,16.43619,16.29976,16.24792
301751098035693568,-0.0002911431,STAR,A0,6,150.4187,0.11162667,19.33714,18.31569,18.19461,18.12663,18.15292
301752472425228288,-0.0001557162,STAR,M2,6,149.81852,-0.82974198,24.98589,21.62991,20.12409,19.04845,18.44662
301753846814763008,0.000518739,STAR,G0,6,149.6984,-0.66619961,18.92289,17.67256,17.17097,16.96958,16.91584
301755496082204672,1.193515E-05,STAR,K5,6,149.93783,-0.81879212,23.10876,20.89715,19.89106,19.61073,19.46966
301756870471739392,0.0005194137,STAR,G0,6,149.98047,-0.49724368,18.71831,17.51899,17.05397,16.86108,16.7743
301759344372901888,0.0002399448,STAR,F9,6,150.30047,-0.3368643,19.08903,17.81457,17.37829,17.2605,17.20783
301760443884529664,0.0004102931,STAR,A0,6,150.3032,-0.40868281,19.86259,19.03095,18.76225,18.66516,18.57337
301769789733365760,0.0001131323,STAR,F9,6,150.25163,-0.40262853,19.1718,17.59953,17.03072,16.82202,16.77331
301776661681039360,0.000185373,STAR,CV,6,149.49651,-1.1186917,17.97084,17.5903,17.53881,17.56058,17.66184
301778310948481024,0.0002378049,STAR,A0,6,149.36551,-1.1203071,19.31252,18.4725,18.22803,18.111,18.08199
301779685338015744,1.963298E-05,STAR,A0,6,149.43562,-1.1310857,19.10476,18.22175,17.97158,17.89078,17.91302
301792329721735168,-2.547461E-05,STAR,M3,6,149.65236,-0.38533516,24.47116,21.19336,19.65764,18.46932,17.80843
301798926791501824,0.0006288908,STAR,A0,6,149.18435,-0.84181086,19.86242,18.76456,18.67634,18.66449,18.74651
301800301181036544,0.0002515242,STAR,F5,6,149.21152,-0.63278803,18.58402,17.65395,17.35966,17.26434,17.27339
301814319954290688,-7.009811E-05,STAR,F5,6,149.14113,-0.16971801,18.68489,17.52312,17.12204,16.95978,16.89063
301817618489174016,-3.127029E-05,STAR,G2,6,149.09645,-0.28140122,16.49602,15.37403,15.00179,14.80266,14.8768
301820642146150400,1.175856E-05,STAR,F2,6,148.64859,-1.2369798,17.26431,16.07308,15.71816,15.59629,15.54432
301820917024057344,0.0001166087,STAR,M1,6,148.34904,-1.0635568,23.09896,20.43396,18.97771,18.04914,17.52937
301821741657778176,0.0001508287,STAR,F9,6,147.83633,-0.74426931,18.33953,17.07048,16.6027,16.44944,16.42028
301822291413592064,0.0005035414,STAR,K1,6,148.72993,-0.76054033,22.08087,20.11979,19.44784,19.17933,19.17571
301823116047312896,0.0009542352,STAR,A0,6,148.00729,-0.77663315,17.79908,16.72183,16.69636,16.74405,16.82424
301824215558940672,0.000308713,STAR,F5,6,147.75936,-0.079764558,18.014,16.98338,16.66392,16.55398,16.49086
301824765314754560,0.0002862855,STAR,G2,6,148.15135,0.079704841,19.07144,17.8683,17.46514,17.33783,17.3163
301827514093824000,0.0003747845,STAR,F2,6,148.24913,-0.079779342,18.78223,17.72755,17.36185,17.23268,17.18843
301830262872893440,0.0001013369,STAR,K3,6,148.77811,1.1167403,20.39135,18.69431,18.04429,17.79978,17.68559
301886337965910016,0.0001775536,STAR,K7,6,149.66589,1.0547394,22.31277,20.33987,19.18352,18.65675,18.36481
301893209913583616,8.620636E-05,STAR,K3,6,150.10747,0.19635549,21.00591,18.98532,18.1097,17.80175,17.63432
301894034547304448,-3.478145E-05,STAR,M4,6,150.12601,0.40909457,23.77542,22.05968,20.39085,19.18803,18.05554
301896508448466944,0.0002761673,STAR,M0V,6,149.77674,1.1637131,24.26302,21.76995,20.00442,19.29515,18.93569
301909702588000256,1.743968E-05,STAR,M0,6,150.0278,0.9245107,23.95513,21.09219,19.45265,18.68917,18.29274
301915749901953024,0.0006728617,STAR,A0,6,150.4103,0.2354742,19.62314,18.42375,18.3666,18.36081,18.40214
302872324145702912,0.0003324921,STAR,M1,6,151.77215,-0.86464825,20.01971,18.23325,17.49499,16.95695,16.56389
302878371459655680,0.0001325577,STAR,K5,6,151.28348,-1.2585743,21.03946,18.69639,17.74286,17.37294,17.18539
302878376979359744,0.0001074115,STAR,K5,6,151.28348,-1.2585743,21.03946,18.69639,17.74286,17.37294,17.18539
